MAC	# of days
FBOXB046FCAB1350	388
FBOXB046FCAA1D26	391
FBOXB046FCAC8334	391
FBOXB046FCAB1AE4	387
FBOXB046FCADCFD3	313
FBOXB046FCAC78CA	319
FBOXB046FCB7BAE1	31
FBOXB046FCA99674	504
FBOXB046FCA994AB	499
FBOXB046FCA6A074	499
FBOXB046FCA9827B	499
FBOXB046FCAB0D24	434
FBOX001C5500F7F3	428
FBOXB046FCAD115B	307
FBOXB046FCB1AA1D	308
FBOXB046FCAEE3C7	263
FBOXB046FCB19B1B	264
FBOXB046FCAED7E4	262
FBOXB046FCB2C208	221
FBOXB046FCB2B005	226
FBOXB046FCB2D6F2	189
FBOXB046FCB2D7B4	187
FBOXB046FCB4D8DC	126
FBOXB046FCA99C7A	124
FBOXB046FCB62699	91
FBOXB046FCB61FBB	94
FBOXB046FCB75ED9	55
FBOXB046FCB75ED5	55
FBOXB046FCB75FA6	56
FBOX001c5500f2d8	27
FBOX001C550085EE	943
FBOX001C5500F894	579
FBOXB046FCAD315C	588
FBOXB046FCA980B7	485
FBOXB046FCA860BC	66
FBOXB046FCA97C13	431
FBOXB046FCAC80E0	379
FBOXB046FCB21118	378
FBOXB046FCAA1F4D	379
FBOXB046FCADC603	307
FBOXB046FCAC8721	307
FBOXB046FCAD37AA	306
FBOXB046FCAD37AE	306
FBOXB046FCAE644D	308
FBOXB046FCAED7EB	262
FBOXB046FCB1965C	259
FBOXB046FCB2D41A	218
FBOXB046FCB30A66	220
FBOXB046FCB378AC	153
FBOXB046FCB51611	125
FBOXB046FCB525A6	123
FBOXB046FCB4E3A3	125
FBOXB046FCB73E98	56
FBOXB046FCB805AD	26
FBOXB046FCA98337	484
FBOXB046FCAB6659	428
FBOXB046FCAB126A	430
FBOXB046FCAA14FD	427
FBOX001C5500C96E	378
FBOXB046FCACB487	380
FBOXB046FCACC3BE	378
FBOX001C5500E553	302
FBOXB046FCAD3711	302
FBOXB046FCB17FD7	259
FBOXB046FCB3B04D	181
FBOXB046FCB44C5E	154
FBOXB046FCB4F440	122
FBOXB046FCB3BC28	124
FBOXB046FCB6C6C9	55
FBOXB046FCB6C544	29
FBOXB046FCB6C9AD	29
FBOXB046FCB80AC2	29
FBOXB046FCB844E9	27
FBOXB046FCB809D3	27
FBOXB046FCB761C2	26
FBOXB046FCA97FCC	480
FBOXB046FCA86507	481
FBOX001c5500d451	430
FBOXB046FCAA1452	427
FBOXB046FCAEE45C	259
FBOXB046FCB1D819	259
FBOXB046FCB2C9AF	218
FBOXB046FCB25BB4	181
FBOXB046FCB480D8	152
FBOXB046FCB28465	123
FBOXB046FCB560B4	90
FBOXB046FCB6CCCF	27
FBOXB046FCB2E7E4	206
FBOXB046FCA980ED	494
FBOXB046FCA97F34	489
FBOXB046FCB42912	120
FBOXB046FCABEEA2	426
FBOXB046FCAA192F	424
FBOXB046FCAD9B7D	377
FBOXB046FCACB4A5	366
FBOXB046FCACC3E5	364
FBOXB046FCAB8387	363
FBOXB046FCACA7C7	368
FBOXB046FCACB900	365
FBOXB046FCAD35AD	306
FBOXB046FCAD9312	260
FBOXB046FCB3C849	188
FBOXB046FCB3B0BC	156
FBOXB046FCB53D87	127
FBOXB046FCB61746	88
FBOXB046FCB4C424	88
FBOXB046FCB75A25	54
FBOXB046FCB7F42F	28
FBOX001C5500FF2E	571
FBOXB046FCAB76D0	423
FBOX001C5500E116	367
FBOXB046FCB4D4F9	365
FBOXB046FCACBE63	364
FBOXB046FCAED33D	254
FBOXB046FCB36445	257
FBOXB046FCB278A0	218
FBOXB046FCB4373D	182
FBOXB046FCB379CC	181
FBOXB046FCB19812	121
FBOXB046FCB3BEE1	121
FBOX001C5500DB50	83
FBOXB046FCB4D132	85
FBOXB046FCB839ED	53
FBOXB046FCB6C200	24
FBOXB046FCB7D14E	27
FBOX001C55010304	569
FBOXB046FCA98683	479
FBOXB046FCAA047B	481
FBOXB046FCAA03C7	475
FBOXB046FCABEB12	424
FBOXB046FCAB103D	423
FBOXB046FCAB6735	425
FBOXB046FCACA369	361
FBOXB046FCAE63FA	295
FBOXB046FCAD8C5B	295
FBOXB046FCB17867	254
FBOXB046FCADBBBE	218
FBOXB046FCB5C828	82
FBOXB046FCB69FD0	84
FBOXB046FCB7BEF7	52
FBOXB046FCB69DED	48
FBOXB046FCB813FC	21
FBOXB046FCAAFDC5	435
FBOX001C5500FBCD	575
FBOXB046FCAB0B9A	436
FBOXB046FCA98799	399
FBOXB046FCAB89AC	385
FBOXB046FCAB1A68	381
FBOXB046FCAD87D5	303
FBOXB046FCB1637F	303
FBOXB046FCB44604	184
FBOXB046FCB2844E	122
FBOXB046FCB5C8C9	85
FBOXB046FCAA2175	54
FBOXB046FCB6DB8E	55
FBOXB046FCB85898	24
FBOXB046FCB79BCC	22
FBOX001C5500E2AE	861
FBOXB046FCAA124F	479
FBOXB046FCA999E2	477
FBOXB046FCAA2111	475
FBOXB046FCACA27D	361
FBOXB046FCACA790	359
FBOXB046FCB1E494	250
FBOXB046FCAE67BA	250
FBOX001C55008869	211
FBOXB046FCB2271D	212
FBOXB046FCB3525A	214
FBOXB046FCB424EF	175
FBOXB046FCB457AB	178
FBOXB046FCB52839	120
FBOXB046FCB7090C	84
FBOXB046FCB85708	23
FBOXB046FCAB83E8	477
FBOXB046FCA98571	473
FBOXB046FCA990BA	473
FBOXB046FCAB1C51	421
FBOXB046FCAA1CA4	423
FBOXB046FCAE5FDC	354
FBOXB046FCAC8187	351
FBOXB046FCB2BCA8	212
FBOXB046FCB44614	148
FBOXB046FCB518FF	120
FBOXB046FCB6A122	83
FBOXB046FCB60F81	49
FBOXB046FCB69ED0	21
FBOXB046FCAA1A43	21
FBOX001C5500D8F0	854
FBOX001C5500C73B	855
FBOXB046FCA97CDE	846
FBOXB046FCA97C68	476
FBOXB046FCA95F6D	472
FBOXB046FCAB79D1	421
FBOXB046FCAB12D2	420
FBOXB046FCAB1438	417
FBOXB046FCB1A4A5	254
FBOXB046FCB1AE9F	254
FBOXB046FCB28BCA	210
FBOXB046FCB5186E	114
FBOXB046FCB6B312	80
FBOXB046FCB741A8	48
FBOXB046FCB5E99B	51
FBOXB046FCB565F8	50
FBOXB046FCB5BE74	48
FBOXB046FCACB772	805
FBOX001C5500EAC4	793
FBOXB046FCA7C0F3	563
FBOXB046FCB2E7FD	472
FBOXB046FCA92464	468
FBOXB046FCB4E6A4	471
FBOX001C5500880C	468
FBOXB046FCAA2002	468
FBOXB046FCABEFAB	420
FBOXB046FCAA1564	420
FBOXB046FCAE662A	290
FBOXB046FCB3EE26	290
FBOXB046FCB5C025	290
FBOXB046FCB23B90	209
FBOXB046FCB70EE7	80
FBOXB046FCB6D82E	49
FBOX001C5500D44D	732
FBOX001C5500F2AB	725
FBOXB046FCAA0DC7	464
FBOXB046FCAB75E0	410
FBOXB046FCAB6F78	412
FBOXB046FCABE36E	412
FBOXB046FCAD30A5	285
FBOXB046FCB17745	245
FBOXB046FCB20C22	246
FBOXB046FCB3BF17	171
FBOXB046FCB84CC8	22
FBOXB046FCA7CA69	560
FBOX001C5500FE48	567
FBOXB046FCAA20DA	468
FBOX001C5500D952	467
FBOXB046FCA980F2	421
FBOXB046FCAD8842	345
FBOXB046FCAE5D63	292
FBOXB046FCAE2CE5	248
FBOXB046FCB1DFCD	247
FBOXB046FCB2836D	213
FBOXB046FCB4E9BC	114
FBOXB046FCB57C4F	44
FBOXB046FCB76117	43
FBOX001C5500EB6D	789
FBOX001C5500ECC2	773
FBOXB046FCAA2048	464
FBOXB046FCABF08D	413
FBOXB046FCABF091	413
FBOXB046FCAD9B70	341
FBOXB046FCAD91B9	344
FBOXB046FCAD9938	341
FBOXB046FCB16874	286
FBOXB046FCB1687A	286
FBOXB046FCB15D33	289
FBOXB046FCAE575C	284
FBOXB046FCB19638	247
FBOXB046FCB201D2	247
FBOXB046FCAE2D4F	244
FBOXB046FCB34761	207
FBOXB046FCB71C5C	148
FBOXB046FCB6942E	74
FBOXB046FCB5E67E	45
FBOXB046FCB84191	19
FBOXB046FCB6DF96	20
FBOX001C5500E2DD	760
FBOX001C5500D631	760
FBOXB046FCAC09F0	398
FBOXB046FCAB85B6	343
FBOXB046FCAD1D72	343
FBOXB046FCB3DEA0	285
FBOXB046FCAF1853	284
FBOXB046FCAEE2D0	244
FBOXB046FCADBAF1	246
FBOXB046FCAD3DE5	246
FBOXB046FCAA15D7	241
FBOXB046FCB23572	209
FBOXB046FCB80AAB	19
FBOXB046FCB72E82	11
FBOX001C5500FE0A	665
FBOXB046FCA97CCE	500
FBOXB046FCA6A47D	532
FBOXB046FCA7C574	527
FBOXB046FCA98C4B	453
FBOXB046FCA98C4C	452
FBOXB046FCAA5FFB	451
FBOXB046FCAC1AF2	408
FBOX001C55008335	339
FBOXB046FCAD87F2	339
FBOXB046FCAE2D74	244
FBOXB046FCB37A09	203
FBOXB046FCB3F352	146
FBOXB046FCB5E995	113
FBOXB046FCB51FA8	109
FBOXB046FCB62119	73
FBOXB046FCB7AF61	12
FBOX001C5500DE94	698
FBOX001C550104B9	542
FBOXB046FCAA1AFC	454
FBOXB046FCAAFF3D	457
FBOXB046FCAD3D2C	410
FBOXB046FCADC7F3	335
FBOXB046FCAD7702	334
FBOXB046FCAD7FA4	335
FBOXB046FCB227EC	238
FBOXB046FCB4DA68	145
FBOXB046FCB28EF6	142
FBOXB046FCB2BAF4	145
FBOXB046FCB77F68	71
FBOXB046FCB7DF42	43
FBOX001C5500F8C9	642
FBOXB046FCA862DF	525
FBOXB046FCAAFF56	453
FBOXB046FCAAF9C4	453
FBOXB046FCAA163A	451
FBOXB046FCAB0062	454
FBOXB046FCAB70C8	408
FBOXB046FCAC1752	402
FBOXB046FCABDDFB	401
FBOXB046FCAC78A4	333
FBOXB046FCADB960	331
FBOXB046FCADC114	331
FBOXB046FCAC120A	330
FBOXB046FCB15FAB	276
FBOXB046FCB428D4	168
FBOXB046FCB731C5	107
FBOXB046FCB736EE	39
FBOXB046FCB840EC	3
FBOX001C5500D8F8	549
FBOXB046FCAB78E5	411
FBOXB046FCB30A53	408
FBOXB046FCB71BD1	285
FBOXB046FCAC7F04	284
FBOXB046FCAE2DA0	246
FBOXB046FCB26126	240
FBOXB046FCB328F7	204
FBOXB046FCB4C8DC	144
FBOXB046FCB2E21E	146
FBOXB046FCB55FD8	109
FBOXB046FCB58AA6	108
FBOXB046FCB58407	109
FBOXB046FCB61158	73
FBOXB046FCAB866D	43
FBOXB046FCB82297	42
FBOXB046FCB6C7C5	6
FBOXB046FCB88E98	5
FBOX001C5500FCE5	679
FBOXB046FCA86716	538
FBOXB046FCAB8CC1	533
FBOXB046FCB3BFCD	174
FBOXB046FCABEFE8	403
FBOXB046FCABEBA3	406
FBOXB046FCAE5B21	279
FBOXB046FCAD8F6F	279
FBOXB046FCAECB95	283
FBOXB046FCB2564A	236
FBOXB046FCB2934A	163
FBOXB046FCB31978	143
FBOXB046FCB314D0	138
FBOXB046FCB57D30	107
FBOXB046FCB5CB44	103
FBOXB046FCB52869	102
FBOXB046FCB73F7F	42
FBOXB046FCB584C0	6
FBOXB046FCB5DDA4	6
FBOXB046FCB80AAC	4
FBOXB046FCA6A4A2	620
FBOXB046FCA6AB93	622
FBOXB046FCA6A8AE	621
FBOXB046FCA85F41	522
FBOXB046FCB35111	518
FBOXB046FCA92264	516
FBOXB046FCAB00E8	453
FBOXB046FCABDF90	404
FBOXB046FCAB8304	403
FBOXB046FCAD8665	398
FBOXB046FCAC1A82	398
FBOXB046FCAC80BA	398
FBOXB046FCAC1CD4	400
FBOXB046FCAD7DE5	327
FBOXB046FCAD869B	329
FBOXB046FCAEE55F	279
FBOXB046FCB2C510	202
FBOXB046FCB463B0	166
FBOXB046FCB3A990	165
FBOXB046FCB2D850	137
FBOXB046FCB6AF90	40
FBOXB046FCB75468	6
FBOXB046FCB5E8C1	2
FBOXB046FCA6B12C	608
FBOX001C5500C64B	607
FBOXB046FCA86B55	508
FBOXB046FCAA0F1B	446
FBOXB046FCB1A559	275
FBOXB046FCB1AA6D	236
FBOXB046FCB3ECF9	234
FBOXB046FCB37AF4	196
FBOXB046FCB23460	199
FBOXB046FCB380CB	161
FBOXB046FCB7674B	40
FBOXB046FCB7E13E	35
FBOXB046FCB733CD	38
FBOXB046FCB76080	37
FBOXB046FCB6B9F5	1
FBOXB046FCB85E51	1
FBOXB046FCB38384	1
FBOXB046FCA6B160	0
FBOXB046FCA6A684	0
FBOXB046FCB71663	0
FBOX001C5500FA04	631
FBOX001C5500FD64	631
FBOXB046FCAAFFBA	449
FBOXB046FCAAFA8B	450
FBOXB046FCA7BAA6	447
FBOXB046FCAB0993	451
FBOXB046FCAB0B1A	402
FBOXB046FCABEF0C	401
FBOXB046FCAD7770	329
FBOXB046FCAE3458	277
FBOXB046FCAD8DBB	235
FBOXB046FCAE3110	194
FBOXB046FCB3DC6D	194
FBOXB046FCB3A961	162
FBOXB046FCB52B6A	137
FBOXB046FCB61BDC	100
FBOXB046FCB5BB91	101
FBOXB046FCB6B785	37
FBOXB046FCB81E3D	38
FBOXB046FCB845C7	1
FBOXB046FCAD3022	3
FBOXB046FCA6A9DA	622
FBOXB046FCA6AA20	621
FBOXB046FCA85F8F	517
FBOXB046FCABDF0C	399
FBOXB046FCB19D45	278
FBOXB046FCAD9184	278
FBOXB046FCB28A7D	237
FBOXB046FCB5CB59	70
FBOXB046FCB787D1	69
FBOXB046FCB816F5	40
FBOXB046FCAC0B0E	394
FBOXB046FCADBFE0	274
FBOXB046FCB31E9C	233
FBOXB046FCB32994	197
FBOXB046FCACE301	450
FBOXB046FCAA0EF2	448
FBOXB046FCADC04B	325
FBOXB046FCADD6B3	325
FBOXB046FCB3A594	236
FBOXB046FCB2829D	201
FBOXB046FCB3C2B8	166
FBOXB046FCB47AD1	166
FBOXB046FCB5050B	141
FBOXB046FCB259C8	104
FBOXB046FCADDDAA	40
FBOXB046FCB93C67	3
FBOXB046FCB5DF85	3
FBOXB046FCB6939D	2
FBOXB046FCB7C4F0	2
FBOXB046FCAEDA07	276
FBOXB046FCB2927A	199
FBOXB046FCB6D488	68
FBOXB046FCA7C34C	510
FBOXB046FCA86530	508
FBOXB046FCA86A56	508
FBOXB046FCAB7527	443
FBOXB046FCAA1C7D	443
FBOXB046FCAE5F9A	319
FBOXB046FCB52B51	137
FBOXB046FCB5BA56	100
FBOXB046FCB69A68	67
FBOXB046FCB76123	38
FBOX001C550081E5	1042
FBOXB046FCA86510	506
FBOXB046FCB60B34	390
FBOXB046FCACDA29	231
FBOXB046FCB318C9	195
FBOXB046FCB4C2B1	163
FBOXB046FCB621AF	37
FBOXB046FCB76B72	37
FBOXB046FCA6A7D7	597
FBOX001C5500FDA1	597
FBOXB046FCA9797E	502
FBOXB046FCA97980	502
FBOXB046FCA9937B	501
FBOXB046FCAB75A4	438
FBOXB046FCAD3914	316
FBOXB046FCA8647A	503
FBOXB046FCAB19EB	439
FBOXB046FCAC7B64	388
FBOXB046FCAC0BAD	387
FBOXB046FCAD7A58	315
FBOXB046FCB1B69B	269
FBOXB046FCB20CF4	228
FBOXB046FCB6D9A5	63
FBOXB046FCB6AC79	63
FBOXB046FCB6CF4A	63
FBOXB046FCB75D2A	35
FBOXB046FCA95D96	492
FBOXB046FCB168FE	490
FBOXB046FCAC8C4C	382
FBOXB046FCB2960E	192
FBOXB046FCB4CF51	131
FBOXB046FCB808EF	34
FBOXB046FCAB1AEB	437
FBOXB046FCB5245A	130
FBOXB046FCB536D2	94
FBOXB046FCB6B37D	94
FBOXB046FCB6B819	94
FBOX001C550086F7	985
FBOXB046FCB4ED11	129
FBOXB046FCA9819E	93
FBOXB046FCB6B9D8	61
FBOXB046FCB792F6	60
FBOXB046FCB8058E	32
FBOX001C550084E8	970
FBOX001C5500CBDD	968
FBOXB046FCA6A928	587
FBOX001C5500F824	586
FBOXB046FCAB0538	432
FBOXB046FCABE635	379
FBOXB046FCAE5AE6	309
FBOXB046FCB2CBF0	223
FBOXB046FCB3BA2A	188
FBOXB046FCB3F293	128
FBOXB046FCB53C16	91
FBOXB046FCAA1ADE	467
FBOXB046FCB1798B	339
FBOXB046FCA95DB5	489
FBOXB046FCA7C29E	203
FBOXB046FCB28575	379
FBOXB046FCAF1E70	262
FBOX001c5500d41c	186
FBOXB046FCB733A6	31
FBOXB046FCAB1688	431
FBOXB046FCAB0781	431
FBOXB046FCA6B0F7	381
FBOXB046FCB1704F	307
FBOXB046FCB1B553	262
FBOXB046FCB467E9	158
FBOXB046FCB6B449	91
FBOXB046FCB7AFA0	58
FBOXB046FCA985F8	479
FBOXB046FCA98BD6	477
FBOXB046FCAB10A3	425
FBOXB046FCAB12C6	425
FBOXB046FCAEDC44	296
FBOXB046FCB1D8C2	255
FBOXB046FCB3BF90	216
FBOXB046FCB23848	216
FBOXB046FCB369E9	179
FBOXB046FCB28455	122
FBOXB046FCB5E825	87
FBOXB046FCB79EFD	53
FBOXB046FCB6B510	53
FBOXB046FCB753C0	53
FBOXB046FCA6ABB9	575
FBOXB046FCA97FF0	272
FBOXB046FCAE543E	303
FBOXB046FCB4F5B1	125
FBOXB046FCB5E1F6	90
FBOXB046FCB6B2ED	89
FBOXB046FCB712E5	89
FBOXB046FCB6CA2A	29
FBOXB046FCA7CA86	569
FBOXB046FCAA27DC	479
FBOXB046FCAA1B1D	426
FBOXB046FCAB1291	425
FBOXB046FCB2925D	298
FBOXB046FCB3C150	181
FBOXB046FCB424AA	181
FBOXB046FCB3E447	124
FBOXB046FCB37BB7	123
FBOXB046FCB53E28	123
FBOXB046FCB794B0	55
FBOXB046FCAB79AA	427
FBOXB046FCAD300B	366
FBOXB046FCACB8FC	366
FBOXB046FCA92488	366
FBOXB046FCAE3661	300
FBOXB046FCB7A479	55
FBOXB046FCA6AF30	482
FBOX001C5500F734	482
FBOX001C55007D68	300
FBOXB046FCAD370A	299
FBOXB046FCB422AC	217
FBOXB046FCB32AF8	217
FBOXB046FCB538D9	86
FBOX001C5500E8CE	822
FBOX001C5500EDB2	822
FBOXB046FCA99A17	474
FBOXB046FCA98769	474
FBOXB046FCB1D461	424
FBOXB046FCB7A2BC	254
FBOXB046FCB51BAB	120
FBOXB046FCB51FEB	120
FBOXB046FCB75FD4	52
FBOXB046FCA95D00	776
FBOX001C5500FFE7	397
FBOX001C5500D6CC	561
FBOXB046FCADBD87	292
FBOXB046FCB16EB6	251
FBOXB046FCB196E8	251
FBOXB046FCB1DE00	251
FBOXB046FCAB1BC9	212
FBOXB046FCB70E8B	83
FBOXB046FCB7D5C7	52
FBOXB046FCB1D526	252
FBOXB046FCB362EA	252
FBOXB046FCB16F0D	252
FBOXB046FCB346DD	214
FBOXB046FCB24392	213
FBOXB046FCA862C8	466
FBOXB046FCAA0A3D	466
FBOXB046FCABE50C	418
FBOXB046FCB2E303	346
FBOXB046FCB15D0C	291
FBOXB046FCB29927	250
FBOXB046FCAEED22	212
FBOXB046FCB361E8	82
FBOXB046FCB7FA5C	49
FBOXB046FCAA1F73	466
FBOXB046FCAA0C13	465
FBOXB046FCAA0AA2	465
FBOXB046FCAA253A	464
FBOXB046FCAB14F4	417
FBOXB046FCAB8ECC	289
FBOXB046FCB19BE8	248
FBOXB046FCB30E3D	210
FBOXB046FCB38037	174
FBOXB046FCB69710	49
FBOXB046FCB7D71F	48
FBOXB046FCA6A53B	541
FBOXB046FCAA0930	459
FBOXB046FCAA093A	459
FBOXB046FCB16854	245
FBOXB046FCB2065B	245
FBOXB046FCB1E00F	245
FBOXB046FCAAFCD0	244
FBOXB046FCB25217	244
FBOXB046FCB2521F	244
FBOXB046FCB454F2	172
FBOXB046FCB46B76	172
FBOXB046FCB6B7C3	78
FBOXB046FCB7E376	47
FBOX001C5500F16C	725
FBOXB046FCA6A8EF	550
FBOXB046FCB3F882	289
FBOXB046FCAED279	289
FBOXB046FCB20D2E	247
FBOXB046FCB2306A	209
FBOXB046FCB24044	208
FBOXB046FCB4D615	149
FBOXB046FCA99226	460
FBOXB046FCAB683C	415
FBOXB046FCB30861	208
FBOXB046FCB46510	173
FBOXB046FCB69AA5	79
FBOXB046FCB73A99	46
FBOXB046FCB8A229	11
FBOXB046FCB8052B	11
FBOXB046FCB843D7	11
FBOXB046FCB7C69E	11
FBOXB046FCA6A242	537
FBOXB046FCA7C20A	532
FBOXB046FCABEE1E	411
FBOXB046FCAB70C5	410
FBOXB046FCAD925B	337
FBOXB046FCAD1075	336
FBOXB046FCB35B2C	206
FBOXB046FCB58642	110
FBOXB046FCB7D7D2	44
FBOXB046FCB889AF	9
FBOX001C5500FD18	637
FBOXB046FCA86DE2	528
FBOXB046FCA9226F	525
FBOXB046FCAB01ED	456
FBOXB046FCAA2563	455
FBOXB046FCAC0B1C	407
FBOXB046FCAAFADB	405
FBOXB046FCB7949F	204
FBOXB046FCACAC8F	170
FBOXB046FCB72D24	10
FBOXB046FCB8903F	9
FBOXB046FCAA1859	409
FBOXB046FCAB01CB	409
FBOXB046FCAB142D	408
FBOXB046FCABED40	408
FBOXB046FCAC898A	335
FBOXB046FCAD1646	283
FBOXB046FCB47E80	170
FBOXB046FCB31682	145
FBOXB046FCB2862A	109
FBOXB046FCB2862C	109
FBOXB046FCB6D9C7	44
FBOXB046FCB7546C	8
FBOXB046FCA6AFAF	626
FBOXB046FCAC09FB	405
FBOXB046FCABEDAF	405
FBOXB046FCAD838A	331
FBOX001c5500f06c	330
FBOXB046FCB3E6DC	143
FBOXB046FCB62216	74
FBOXB046FCB73ABD	74
FBOXB046FCB88D22	6
FBOX001C5500FE44	613
FBOXB046FCAAFA40	453
FBOXB046FCAA229C	453
FBOXB046FCB19558	279
FBOXB046FCABEFB4	238
FBOXB046FCB320DD	202
FBOXB046FCACA347	142
FBOXB046FCB50E7A	142
FBOXB046FCB3DB12	105
FBOXB046FCB57CCB	104
FBOXB046FCB7F025	41
FBOXB046FCB85A2D	6
FBOX001C5500F54D	638
FBOXB046FCA9881A	462
FBOXB046FCA7C243	462
FBOXB046FCAB142F	408
FBOXB046FCACB15E	412
FBOXB046FCAC0CD6	412
FBOXB046FCADC07A	334
FBOXB046FCADDF13	286
FBOXB046FCB3BBE0	151
FBOXB046FCB6D433	48
FBOXB046FCB72DE2	6
FBOXB046FCACB3FD	276
FBOXB046FCB193F4	282
FBOXB046FCAD9D6C	202
FBOXB046FCB36175	138
FBOXB046FCAB0422	141
FBOXB046FCB8067B	7
FBOXB046FCA7BCB5	504
FBOXB046FCAA28A0	440
FBOXB046FCACAADF	393
FBOXB046FCAC8004	390
FBOXB046FCB21EAD	234
FBOXB046FCB2984A	198
FBOXB046FCB53E7E	143
FBOXB046FCB3C16C	137
FBOXB046FCB529E3	143
FBOXB046FCB6AE0E	73
FBOXB046FCB6B55F	68
FBOXB046FCB763DF	39
FBOXB046FCB6BAF9	42
FBOXB046FCB72D2D	7
FBOXB046FCB88C73	7
FBOXB046FCA99851	454
FBOXB046FCAB1434	408
FBOXB046FCAC15B5	405
FBOXB046FCAA1C30	405
FBOX001C55010488	405
FBOXB046FCAD1BAA	333
FBOXB046FCACBA44	337
FBOXB046FCB1A707	282
FBOXB046FCAED7F7	173
FBOXB046FCB23E4B	142
FBOXB046FCB53955	105
FBOXB046FCB7849D	71
FBOXB046FCB71A66	74
FBOXB046FCB71A63	74
FBOXB046FCB7C3D3	40
FBOXB046FCB7D347	46
FBOXB046FCB7D345	46
FBOXB046FCB7D67D	46
FBOXB046FCB79FF7	46
FBOXB046FCB7D926	46
FBOXB046FCB93C69	3
FBOXB046FCB5BD67	6
FBOXB046FCB7E652	7
FBOXB046FCA86474	525
FBOXB046FCAF217A	527
FBOXB046FCB201DE	455
FBOXB046FCAB7816	409
FBOXB046FCAC1A90	403
FBOXB046FCADB50F	329
FBOXB046FCAD402A	329
FBOXB046FCB17BE3	278
FBOXB046FCAEEB41	280
FBOXB046FCB53609	105
FBOXB046FCB75B58	74
FBOXB046FCB807DD	41
FBOXB046FCB88851	5
FBOXB046FCAC1B79	503
FBOXB046FCA999B9	496
FBOXB046FCAB0EE9	443
FBOXB046FCACA468	385
FBOXB046FCACA313	386
FBOXB046FCAD994F	385
FBOXB046FCACA491	387
FBOXB046FCAD8FC9	319
FBOXB046FCB2C63D	232
FBOXB046FCB6B293	67
FBOXB046FCB2BBBA	69
FBOXB046FCAA1AEE	457
FBOXB046FCADD709	329
FBOXB046FCAD9756	326
FBOXB046FCB172E6	276
FBOXB046FCB3FB07	143
FBOXB046FCB6D657	38
FBOXB046FCB6D65B	38
FBOXB046FCB85880	1
FBOXB046FCB8586E	1
FBOXB046FCB85F6F	3
FBOXB046FCB9356A	4
FBOXB046FCB5E581	2
FBOXB046FCA97F7E	496
FBOXB046FCAA12C9	440
FBOXB046FCAB0C97	444
FBOXB046FCAC0AEB	391
FBOXB046FCAEDBE9	270
FBOXB046FCB221BC	237
FBOXB046FCB20BFC	200
FBOXB046FCB350F2	197
FBOXB046FCB4A37C	169
FBOXB046FCB30B77	140
FBOXB046FCB538AB	136
FBOXB046FCB716F4	41
FBOX001C55008538	971
FBOXB046FCB6C677	43
FBOXB046FCAD0D67	435
FBOXB046FCACC4E8	385
FBOXB046FCAD8BCD	316
FBOXB046FCAE5642	317
FBOXB046FCB199C4	272
FBOXB046FCB19CF0	268
FBOXB046FCB2D3C7	228
FBOXB046FCB459BF	192
FBOXB046FCB3ADF8	191
FBOXB046FCA99B5D	96
FBOXB046FCB76099	69
FBOXB046FCA6A684	4
FBOXB046FCB71663	4
FBOXB046FCA6B160	4
FBOXB046FCB7889F	2
FBOXB046FCB38384	4
FBOXB046FCA983CA	495
FBOXB046FCB1B96D	439
FBOXB046FCB446BB	435
FBOXB046FCAB6776	439
FBOXB046FCAB077F	433
FBOXB046FCAC8C08	313
FBOXB046FCA98C13	312
FBOXB046FCADC01E	315
FBOXB046FCAEF018	270
FBOXB046FCB2BB2F	229
FBOXB046FCB30B8B	189
FBOXB046FCB3A60F	164
FBOXB046FCB51B43	129
FBOXB046FCB7124F	94
FBOXB046FCB5DB19	93
FBOXB046FCB57C07	65
FBOXB046FCB71B70	67
FBOXB046FCB76015	62
FBOXB046FCB94F76	0
FBOXB046FCB72A26	0
FBOXB046FCA6B1C2	615
FBOXB046FCA6A298	612
FBOXB046FCAA09EE	450
FBOXB046FCAC886B	396
FBOXB046FCB237C0	397
FBOXB046FCAD0CBA	320
FBOXB046FCB16E4A	274
FBOXB046FCB18059	276
FBOXB046FCAD3628	278
FBOXB046FCB3E186	200
FBOXB046FCB6BD2B	37
FBOXB046FCB83EE1	38
FBOX001C5500E220	918
FBOX001C55008502	915
FBOX001C5500D9FB	902
FBOX001C5500E310	901
FBOX001C5500FFA9	576
FBOXB046FCAB75A8	436
FBOXB046FCAB7391	436
FBOXB046FCAC8046	374
FBOXB046FCB6955A	133
FBOXB046FCB7F995	66
FBOXB046FCB739AC	59
FBOXB046FCB94766	4
FBOXB046FCB88E38	4
FBOXB046FCB85B4C	2
FBOXB046FCB88E37	4
FBOXB046FCA7C313	509
FBOXB046FCA979D4	510
FBOXB046FCA7CB24	507
FBOXB046FCAB87F5	395
FBOXB046FCB1A5CF	268
FBOXB046FCB1A5CE	268
FBOXB046FCB3233A	230
FBOXB046FCB472A0	132
FBOXB046FCB7B8F6	136
FBOXB046FCB3FD8C	136
FBOXB046FCB52A72	131
FBOXB046FCB6BAD3	95
FBOXB046FCB613DB	100
FBOXB046FCB7F31F	1
FBOXB046FCB57B82	1
FBOXB046FCA6F096	1
FBOXB046FCA7C251	557
FBOXB046FCA97F5F	490
FBOXB046FCA98C35	476
FBOXB046FCAB156F	433
FBOXB046FCACE042	433
FBOXB046FCAB07DA	382
FBOXB046FCACC6A9	381
